id,private,size,nace,region,single_shift
207,1,L,F,22,TRUE
208,1,L,N,22,FALSE
209,1,M,G,22,TRUE
210,1,S,F,22,TRUE
211,1,L,G,22,FALSE
212,1,L,H,22,FALSE
213,0,L,K.L,22,TRUE
214,0,L,D.E,22,TRUE
215,0,M,K.L,20,TRUE
216,1,M,N,20,TRUE
217,0,L,D.E,08,FALSE
218,0,L,Q,08,TRUE
219,0,M,Q,08,FALSE
220,1,L,C,08,FALSE
221,1,L,C,08,FALSE
222,1,L,I,22,FALSE
223,1,L,C,28,FALSE
224,0,L,R.S,22,TRUE
225,1,L,I,22,FALSE
226,1,L,C,02,FALSE
227,1,L,C,18,FALSE
228,0,L,M,24,TRUE
229,1,L,G,24,FALSE
230,1,L,N,24,TRUE
231,0,L,Q,24,TRUE
232,1,L,F,24,TRUE
233,1,L,N,24,FALSE
234,1,L,G,24,FALSE
235,1,L,N,24,TRUE
236,1,M,F,30,TRUE
237,1,L,F,30,TRUE
238,1,L,C,30,FALSE
239,1,L,C,06,FALSE
240,1,L,C,26,TRUE
241,1,M,M,26,TRUE
242,1,L,K.L,24,TRUE
243,0,L,D.E,24,FALSE
244,1,L,C,24,FALSE
245,1,L,F,24,TRUE
246,1,L,G,24,TRUE
247,0,L,N,24,TRUE
248,1,L,C,24,TRUE
249,1,L,K.L,24,FALSE
250,1,L,F,24,TRUE
251,0,L,D.E,24,TRUE
252,1,L,G,24,FALSE
253,0,L,I,24,FALSE
254,1,S,G,24,TRUE
255,1,L,C,24,FALSE
256,0,L,H,24,FALSE
257,0,L,C,24,TRUE
258,0,L,Q,24,FALSE
259,0,M,Q,24,TRUE
260,0,L,Q,24,TRUE
261,1,L,C,24,FALSE
262,1,L,F,24,TRUE
263,1,L,N,24,FALSE
264,0,L,D.E,24,TRUE
265,0,L,D.E,28,FALSE
266,1,L,C,28,FALSE
267,1,L,C,26,TRUE
268,1,M,C,26,FALSE
269,1,L,J,26,FALSE
270,1,L,N,26,FALSE
271,1,L,D.E,26,TRUE
272,1,L,M,30,TRUE
273,1,L,C,30,FALSE
274,1,L,N,30,FALSE
275,1,L,C,30,TRUE
276,1,L,Q,02,FALSE
277,1,L,C,30,FALSE
278,1,L,G,30,FALSE
279,1,L,N,14,FALSE
280,1,L,H,32,TRUE
281,0,L,R.S,32,FALSE
282,0,L,P,32,FALSE
283,0,L,Q,32,FALSE
284,0,L,H,32,FALSE
285,0,L,R.S,32,FALSE
286,1,L,C,32,TRUE
287,0,L,Q,32,FALSE
288,0,L,Q,04,FALSE
289,1,L,C,04,FALSE
290,1,L,C,04,TRUE
291,1,L,C,12,FALSE
292,1,L,C,12,TRUE
293,1,L,N,14,TRUE
294,1,L,G,12,FALSE
295,1,L,C,30,FALSE
296,1,L,C,02,FALSE
297,1,M,N,24,FALSE
298,0,M,R.S,20,FALSE
299,1,L,N,24,TRUE
300,0,L,P,14,FALSE
301,1,L,I,24,FALSE
302,0,L,P,14,TRUE
303,1,L,M,30,TRUE
304,0,M,M,24,FALSE
305,1,M,K.L,10,TRUE
306,1,L,F,24,TRUE
307,1,L,G,22,FALSE
308,0,L,D.E,12,TRUE
309,1,L,C,14,FALSE
310,1,L,I,02,TRUE
311,1,L,K.L,14,TRUE
312,1,L,C,30,FALSE
313,0,L,D.E,02,FALSE
314,1,L,C,22,FALSE
315,1,L,G,06,TRUE
316,1,L,C,18,FALSE
317,0,L,D.E,18,TRUE
318,1,L,N,14,FALSE
319,1,L,C,18,TRUE
320,1,L,D.E,18,TRUE
321,0,S,Q,24,FALSE
322,1,L,G,02,FALSE
323,1,L,I,02,FALSE
324,0,L,D.E,02,TRUE
325,1,L,N,02,FALSE
326,1,L,C,02,FALSE
327,1,L,C,02,TRUE
328,0,L,K.L,02,TRUE
329,0,L,R.S,02,FALSE
330,1,L,H,02,FALSE
331,1,L,C,02,FALSE
332,1,L,C,06,FALSE
333,1,S,R.S,06,TRUE
334,0,L,Q,20,TRUE
335,1,L,C,02,FALSE
336,1,L,N,14,TRUE
337,1,L,C,24,FALSE
338,1,L,C,10,TRUE
339,1,L,C,12,TRUE
340,1,L,F,12,TRUE
341,1,L,F,12,TRUE
342,0,L,H,28,TRUE
343,1,M,F,28,TRUE
344,1,L,C,28,TRUE
345,0,M,I,28,TRUE
346,1,L,C,28,TRUE
347,1,L,G,16,FALSE
348,1,L,F,24,TRUE
349,1,L,C,16,TRUE
350,1,L,C,16,TRUE
351,1,L,C,16,FALSE
352,1,L,C,16,FALSE
353,1,L,C,16,FALSE
354,0,M,P,16,TRUE
355,1,L,N,24,FALSE
356,1,L,C,16,FALSE
357,1,M,N,16,TRUE
358,1,L,C,30,FALSE
359,1,M,C,10,FALSE
360,1,L,I,24,FALSE
361,0,L,K.L,10,TRUE
362,1,M,I,10,FALSE
363,1,L,C,30,FALSE
364,0,L,R.S,30,FALSE
365,0,L,C,30,FALSE
366,1,L,G,30,FALSE
367,1,L,F,30,TRUE
368,1,M,G,16,FALSE
369,1,M,G,08,FALSE
370,1,M,G,14,FALSE
371,1,L,C,18,FALSE
372,1,L,F,18,TRUE
373,1,L,G,18,FALSE
374,1,L,C,18,FALSE
375,1,L,G,18,FALSE
376,1,S,G,18,TRUE
377,1,L,C,18,FALSE
378,1,L,C,18,FALSE
379,1,M,H,18,FALSE
380,1,L,G,14,FALSE
381,0,L,Q,14,TRUE
382,1,L,N,14,FALSE
383,1,L,N,22,FALSE
384,1,L,C,22,FALSE
385,1,S,C,28,TRUE
386,1,L,C,20,FALSE
387,1,M,Q,32,TRUE
388,1,M,G,32,TRUE
389,1,L,C,32,FALSE
390,1,M,J,32,TRUE
391,1,L,C,28,FALSE
392,1,L,H,32,TRUE
393,0,L,H,32,FALSE
394,1,M,G,26,TRUE
395,0,L,D.E,18,TRUE
396,1,L,D.E,18,FALSE
397,1,L,G,18,FALSE
398,1,M,G,18,FALSE
399,1,L,C,12,TRUE
400,1,L,C,28,FALSE
401,1,L,C,04,TRUE
402,1,L,C,32,FALSE
403,0,L,D.E,04,FALSE
404,1,L,F,04,TRUE
405,1,L,G,04,FALSE
406,1,L,G,04,FALSE
407,1,L,C,04,FALSE
408,0,L,Q,02,FALSE
409,1,L,C,02,FALSE
410,1,L,H,02,TRUE
411,1,L,F,02,TRUE
412,0,L,D.E,02,FALSE
413,1,L,C,04,TRUE
414,1,L,I,14,FALSE
415,1,S,D.E,04,TRUE
416,1,L,G,02,FALSE
417,1,L,C,02,TRUE
418,0,L,D.E,02,TRUE
419,1,L,C,30,FALSE
420,1,L,I,02,FALSE
421,1,L,C,02,TRUE
422,1,L,G,02,FALSE
423,1,L,N,02,TRUE
424,1,L,C,08,FALSE
425,1,L,G,06,FALSE
426,1,L,C,06,FALSE
427,1,L,F,08,TRUE
428,1,L,N,24,FALSE
429,1,M,G,08,TRUE
430,1,L,C,08,FALSE
431,0,L,P,22,TRUE
432,0,L,P,14,TRUE
433,0,L,P,12,FALSE
434,0,L,P,24,TRUE
435,0,L,P,04,TRUE
436,0,L,P,16,TRUE
437,0,L,P,02,TRUE
438,1,L,K.L,14,FALSE
439,0,L,O,20,TRUE
440,0,L,O,06,TRUE
441,0,L,O,10,TRUE
442,0,L,O,28,TRUE
443,1,S,G,32,TRUE
444,0,L,P,24,TRUE
445,1,L,C,26,FALSE
446,1,L,C,02,FALSE
447,0,L,P,02,FALSE
448,0,L,M,14,TRUE
449,0,L,M,14,TRUE
450,1,L,C,32,FALSE
451,0,L,M,14,TRUE
452,0,L,M,14,TRUE
453,0,L,P,14,TRUE
454,0,M,P,18,TRUE
455,0,L,P,10,TRUE
456,0,M,P,32,TRUE
457,0,L,P,22,TRUE
458,0,L,P,32,TRUE
459,0,M,P,30,TRUE
460,0,L,P,02,TRUE
461,0,L,P,02,TRUE
462,0,L,O,04,TRUE
463,0,L,H,22,TRUE
464,0,L,D.E,20,TRUE
465,0,L,C,06,TRUE
466,0,M,P,02,TRUE
467,0,L,P,10,TRUE
468,0,L,P,14,TRUE
469,0,L,P,02,TRUE
470,0,L,Q,24,TRUE
471,0,L,P,12,TRUE
472,0,M,P,08,TRUE
473,0,L,P,06,FALSE
474,0,L,P,14,TRUE
475,0,L,P,08,TRUE
476,0,L,P,04,FALSE
477,0,L,P,18,TRUE
478,0,L,P,32,TRUE
479,0,L,P,22,FALSE
480,0,L,P,14,TRUE
481,0,L,P,12,TRUE
482,0,L,P,12,TRUE
483,0,L,P,06,TRUE
484,0,L,P,12,TRUE
485,0,L,P,02,TRUE
486,0,L,P,12,TRUE
487,0,L,P,14,TRUE
488,0,L,P,14,TRUE
489,0,L,P,22,TRUE
490,0,L,P,10,TRUE
491,0,L,P,12,TRUE
492,0,L,P,02,TRUE
493,0,L,Q,32,FALSE
494,0,L,P,14,TRUE
495,0,L,P,28,TRUE
496,0,L,P,02,FALSE
497,0,L,P,04,TRUE
498,0,L,P,28,TRUE
499,0,M,P,22,FALSE
500,0,L,P,18,TRUE
501,0,L,P,22,TRUE
502,0,L,Q,06,FALSE
503,0,L,P,06,TRUE
504,0,L,P,06,TRUE
505,0,L,P,06,TRUE
506,0,L,P,14,TRUE
507,0,L,P,14,FALSE
508,0,M,P,24,FALSE
509,0,L,P,12,TRUE
510,0,L,Q,22,TRUE
511,0,L,P,12,TRUE
512,0,L,Q,24,FALSE
513,0,L,Q,22,TRUE
514,0,M,P,32,TRUE
515,0,L,P,04,TRUE
516,0,L,P,32,TRUE
517,0,L,P,10,TRUE
518,0,L,P,32,TRUE
519,0,L,P,32,TRUE
520,0,L,P,22,TRUE
521,0,L,P,22,FALSE
522,0,M,P,10,TRUE
523,0,L,P,32,FALSE
524,0,M,P,10,TRUE
525,0,L,P,32,TRUE
526,0,M,Q,14,FALSE
527,0,M,Q,08,FALSE
528,0,L,P,28,TRUE
529,0,L,P,04,TRUE
530,0,L,P,18,TRUE
531,0,L,P,32,TRUE
532,0,L,Q,30,TRUE
533,0,L,P,30,TRUE
534,0,L,P,02,FALSE
535,0,M,P,30,FALSE
536,0,L,Q,30,TRUE
537,0,L,Q,30,FALSE
538,0,L,P,30,FALSE
539,0,L,Q,14,FALSE
540,0,L,P,12,FALSE
541,0,L,P,02,TRUE
542,0,L,P,04,TRUE
543,0,M,P,32,FALSE
544,0,M,P,14,FALSE
545,0,L,R.S,22,TRUE
546,0,L,R.S,32,FALSE
547,0,L,R.S,30,FALSE
548,0,L,R.S,02,FALSE
549,0,L,R.S,04,FALSE
550,0,M,R.S,02,TRUE
551,0,M,R.S,06,TRUE
552,0,L,P,24,TRUE
553,0,L,R.S,22,FALSE
554,0,L,P,28,TRUE
555,0,M,R.S,04,FALSE
556,0,M,R.S,14,TRUE
557,1,L,Q,04,TRUE
558,1,L,Q,04,FALSE
559,0,L,Q,32,FALSE
560,1,L,Q,06,FALSE
561,0,L,Q,32,FALSE
562,0,L,Q,02,FALSE
563,0,L,Q,02,FALSE
564,0,L,M,14,FALSE
565,0,L,M,10,TRUE
566,0,L,Q,20,TRUE
567,0,L,Q,14,FALSE
568,0,L,Q,24,FALSE
569,0,L,R.S,14,TRUE
570,0,L,Q,14,FALSE
571,0,L,Q,26,TRUE
572,0,L,O,22,TRUE
573,0,L,Q,24,TRUE
574,0,L,Q,16,FALSE
575,0,L,O,04,TRUE
576,0,L,Q,32,FALSE
577,0,L,Q,22,TRUE
578,0,L,Q,12,TRUE
579,0,L,Q,02,FALSE
580,0,L,Q,30,TRUE
581,0,L,Q,04,FALSE
582,0,L,Q,02,TRUE
583,0,L,Q,14,FALSE
584,0,L,Q,22,FALSE
585,0,L,Q,30,FALSE
586,0,L,Q,14,FALSE
587,0,L,Q,10,FALSE
588,0,L,Q,04,TRUE
589,0,L,Q,30,FALSE
590,0,L,Q,30,FALSE
591,0,L,Q,04,FALSE
592,0,L,Q,28,FALSE
593,0,L,Q,14,FALSE
594,0,L,Q,22,FALSE
595,0,L,Q,04,TRUE
596,0,L,Q,20,FALSE
597,0,L,Q,06,FALSE
598,0,M,O,22,TRUE
599,0,M,O,16,TRUE
600,0,L,Q,10,TRUE
601,0,L,Q,26,TRUE
602,0,L,Q,20,FALSE
603,0,M,O,30,TRUE
604,0,L,Q,30,FALSE
605,0,L,Q,12,FALSE
606,0,L,Q,06,FALSE
607,0,L,Q,18,TRUE
608,0,L,Q,22,FALSE
609,0,L,Q,28,TRUE
610,0,L,Q,28,FALSE
611,0,L,Q,30,TRUE
612,0,L,Q,10,TRUE
613,0,M,Q,16,TRUE
614,0,L,Q,24,FALSE
615,0,L,Q,24,TRUE
616,0,L,Q,14,TRUE
617,0,L,Q,14,TRUE
618,0,L,Q,32,FALSE
619,0,M,O,02,TRUE
620,0,L,Q,24,FALSE
621,0,L,Q,30,TRUE
622,0,L,Q,14,TRUE
623,0,L,Q,14,TRUE
624,0,S,Q,10,TRUE
625,0,L,Q,16,TRUE
626,0,L,Q,30,FALSE
627,0,L,Q,10,FALSE
628,0,L,Q,02,TRUE
629,0,L,C,24,TRUE
630,0,M,C,14,TRUE
631,0,L,M,02,TRUE
632,0,L,R.S,04,FALSE
633,0,L,R.S,24,FALSE
634,0,M,R.S,22,FALSE
635,0,L,R.S,30,FALSE
636,0,M,R.S,32,FALSE
637,0,L,R.S,24,FALSE
638,0,L,O,20,FALSE
639,0,L,O,04,FALSE
640,0,L,O,24,TRUE
641,0,L,O,12,FALSE
642,0,L,O,28,FALSE
643,1,L,N,30,TRUE
644,0,L,P,30,TRUE
645,1,M,G,20,TRUE
646,1,M,G,22,FALSE
647,1,M,G,22,FALSE
648,1,L,G,22,TRUE
649,1,M,G,04,TRUE
650,1,M,C,22,FALSE
651,1,L,G,24,FALSE
652,1,M,G,24,TRUE
653,1,M,C,32,FALSE
654,1,M,G,12,TRUE
655,1,L,G,12,FALSE
656,1,L,G,12,FALSE
657,1,L,G,12,FALSE
658,1,M,G,12,FALSE
659,1,L,G,12,FALSE
660,1,M,G,12,FALSE
661,1,L,G,12,FALSE
662,1,S,G,06,TRUE
663,1,L,G,06,FALSE
664,1,M,G,06,TRUE
665,1,L,G,10,FALSE
666,1,M,G,10,FALSE
667,1,L,G,28,FALSE
668,1,M,G,28,TRUE
669,1,M,G,28,FALSE
670,1,L,G,24,FALSE
671,1,M,G,30,FALSE
672,1,L,G,30,TRUE
673,1,L,G,18,FALSE
674,1,M,G,18,FALSE
675,1,M,G,32,TRUE
676,1,M,G,14,FALSE
677,1,M,G,14,TRUE
678,1,M,G,02,TRUE
679,1,M,C,02,TRUE
680,1,L,C,02,TRUE
681,0,M,P,24,TRUE
