id,private,size,nace,region,weight
255,0,L,Q,04,1
256,0,L,Q,32,1
257,0,L,Q,04,1
258,0,L,Q,12,1
259,0,L,Q,12,1
260,0,L,Q,28,1
261,0,L,Q,10,1
262,0,L,Q,12,1
263,0,L,Q,18,1
264,0,L,Q,10,1
265,0,L,Q,04,1
266,0,L,Q,24,1
267,0,L,Q,10,1
268,0,L,Q,12,1
269,0,L,Q,14,1
270,0,L,O,12,1
271,0,L,Q,14,1
272,0,L,Q,14,1
273,0,L,Q,14,2
274,0,L,Q,14,2
275,0,L,Q,24,1
276,0,L,Q,24,1
277,0,L,Q,12,12
278,0,L,Q,12,1
279,0,L,Q,14,1
280,0,M,O,22,5
281,0,L,O,24,6
282,0,L,O,24,1
283,0,M,O,24,6
284,0,L,Q,26,1
285,0,L,Q,26,1
286,0,L,Q,14,1
287,0,L,Q,28,1
288,0,M,O,06,7
289,0,L,Q,24,1
290,0,L,Q,26,1
291,0,L,Q,12,1
292,0,L,Q,12,1
293,0,L,Q,12,1
294,0,L,Q,32,1
295,0,L,Q,14,1
296,0,L,Q,12,1
297,0,L,Q,12,2
298,0,L,Q,06,1
299,0,L,Q,28,1
300,0,L,Q,30,1
301,0,L,Q,18,1
302,0,L,Q,14,2
303,0,L,Q,14,1
304,0,L,Q,14,1
305,0,L,Q,14,2
306,0,L,Q,02,1
307,0,M,O,32,5
308,0,L,Q,22,1
309,0,L,Q,26,1
310,0,L,Q,06,1
311,0,L,Q,06,1
312,0,L,Q,30,1
313,0,L,Q,30,1
314,0,L,Q,08,1
315,0,L,O,08,1
316,0,L,Q,24,1
317,0,L,Q,12,1
318,0,L,Q,10,1
319,0,L,Q,28,1
320,0,L,Q,30,1
321,0,L,Q,30,1
322,0,L,Q,30,1
323,0,L,Q,14,1
324,0,L,Q,14,1
325,0,L,Q,14,1
326,0,L,Q,32,1
327,0,L,Q,10,1
328,0,L,Q,08,1
329,0,L,Q,26,1
330,0,L,Q,26,1
331,0,L,Q,32,1
332,0,L,Q,16,1
333,0,L,Q,14,2
334,0,L,O,24,1
335,0,L,Q,24,1
336,0,L,Q,18,1
337,0,L,Q,02,12
338,0,L,Q,16,1
339,0,L,Q,14,1
340,0,L,Q,10,1
341,0,L,Q,10,1
342,0,L,Q,02,1
343,0,L,Q,16,1
344,0,L,O,14,1
345,0,L,C,04,14
346,0,L,C,32,2
347,0,L,Q,10,2
348,0,L,Q,28,9
349,0,L,P,30,1
350,0,L,Q,26,12
351,0,L,Q,10,1
352,0,L,Q,24,1
353,0,L,Q,02,1
354,0,L,Q,02,1
355,0,L,M,14,1
356,0,L,M,06,1
357,0,L,R.S,22,1
358,0,L,R.S,10,1
359,0,M,R.S,16,1
360,0,L,O,14,1
361,0,L,O,14,1
362,0,L,O,10,1
363,0,L,O,22,1
364,0,L,O,26,1
365,0,L,O,06,1
366,0,L,O,28,1
367,0,L,O,16,1
368,0,L,O,32,1
369,0,L,O,02,1
370,0,L,O,08,1
371,0,L,O,24,1
372,0,L,O,02,5
373,0,L,O,30,5
374,0,L,O,22,5
375,0,L,O,14,1
376,0,L,O,02,1
377,0,L,O,30,1
378,0,L,O,22,1
379,0,L,O,04,1
380,0,L,O,14,9
381,1,L,G,04,1
382,1,L,G,04,1
383,1,L,G,26,1
384,1,M,G,26,1
385,1,L,G,24,1
386,1,M,G,12,23
387,1,L,G,12,1
388,1,M,G,10,15
389,1,L,G,28,1
390,1,M,G,16,1
391,1,M,G,30,25
392,1,L,G,18,1
393,1,L,G,18,1
394,1,L,G,18,1
395,1,L,G,18,1
396,1,L,G,18,2
397,1,L,G,32,1
398,1,S,K.L,14,8
399,1,L,C,14,26
400,1,L,C,22,1
401,1,L,R.S,30,2
402,1,L,C,32,15
403,1,L,Q,32,1
404,1,M,Q,14,15
405,1,L,G,12,1
406,1,L,G,30,1
407,1,L,G,20,1
408,1,L,C,22,1
409,1,L,C,10,1
410,1,L,C,10,1
411,1,L,C,12,1
412,1,L,C,30,1
413,1,L,C,22,2
414,1,M,G,06,1
415,1,L,C,06,1
416,1,L,C,10,1
417,1,L,C,28,1
418,1,L,C,28,16
419,1,L,N,30,1
420,1,L,N,18,1
421,1,L,C,14,26
422,1,L,C,02,1
423,1,M,K.L,20,1
424,1,M,K.L,20,1
425,1,M,D.E,20,1
426,1,M,K.L,20,2
427,1,M,K.L,04,1
428,1,M,K.L,28,1
429,1,L,K.L,22,2
430,1,L,K.L,22,1
431,1,L,K.L,22,1
432,1,M,K.L,24,1
433,1,L,K.L,24,1
434,1,L,K.L,24,1
435,1,L,K.L,24,1
436,1,M,K.L,26,1
437,1,M,K.L,26,2
438,1,M,K.L,32,1
439,1,M,K.L,22,1
440,1,M,K.L,22,9
441,1,M,K.L,12,1
442,1,L,K.L,12,1
443,1,L,K.L,06,1
444,1,L,K.L,06,1
445,1,M,K.L,06,1
446,1,L,K.L,06,1
447,1,M,K.L,06,1
448,1,L,K.L,10,1
449,1,L,K.L,10,1
450,1,M,K.L,28,2
451,1,M,K.L,28,1
452,1,M,K.L,16,2
453,1,L,K.L,16,1
454,1,L,K.L,30,1
455,1,L,K.L,18,1
456,1,L,K.L,32,1
457,1,L,K.L,14,1
458,1,M,K.L,14,9
459,1,L,K.L,14,1
460,1,L,K.L,02,1
461,1,M,K.L,02,1
462,1,L,K.L,08,1
463,1,M,K.L,08,1
464,1,L,K.L,08,1
465,1,L,K.L,04,1
466,1,L,K.L,22,1
467,1,L,K.L,22,1
468,1,L,K.L,22,1
469,1,L,K.L,22,1
470,1,L,K.L,24,1
471,1,M,K.L,24,2
472,1,M,K.L,26,1
473,1,L,K.L,26,1
474,1,L,K.L,26,1
475,1,L,K.L,26,1
476,1,L,K.L,32,1
477,1,L,K.L,22,1
478,1,L,K.L,32,1
479,1,L,K.L,12,2
480,1,L,K.L,06,1
481,1,L,K.L,10,1
482,1,L,K.L,10,1
483,1,L,K.L,10,1
484,1,M,K.L,28,1
485,1,L,K.L,30,3
486,1,L,K.L,30,2
487,1,M,K.L,18,1
488,1,L,K.L,18,1
489,1,M,K.L,32,1
490,1,L,K.L,02,1
491,1,L,K.L,02,1
492,0,L,O,12,1
493,0,L,O,10,1
494,0,L,O,20,1
495,0,L,O,04,1
496,0,L,O,22,1
497,0,L,O,24,1
498,0,L,O,06,1
499,0,L,O,16,1
500,0,L,O,30,1
501,0,L,O,18,1
502,0,L,O,32,1
503,0,L,O,02,1
504,0,L,O,24,1
505,0,L,O,24,1
506,0,L,O,24,1
507,0,L,O,24,1
508,0,L,O,24,1
509,0,L,O,24,1
510,0,L,O,24,1
511,0,L,O,24,1
512,0,L,O,24,1
513,0,L,O,24,1
514,0,L,O,24,1
515,0,L,O,26,1
516,0,L,O,14,1
517,0,L,O,16,1
518,0,L,O,28,1
519,0,L,O,28,1
520,0,L,O,22,1
521,0,L,O,24,1
522,0,L,O,24,1
523,0,L,O,26,1
524,0,L,O,14,1
525,0,L,O,14,1
526,0,L,O,32,1
527,0,L,O,32,1
528,0,L,O,22,1
529,0,L,O,12,1
530,0,L,O,06,1
531,0,L,O,06,1
532,0,L,O,06,1
533,0,L,O,10,1
534,0,L,O,28,1
535,0,L,O,28,1
536,0,L,O,28,1
537,0,L,O,16,1
538,0,L,O,30,1
539,0,L,O,30,1
540,0,L,O,30,1
541,0,L,O,18,1
542,0,L,O,18,1
543,0,L,O,14,1
544,0,L,O,14,1
545,0,L,O,06,1
546,0,L,O,02,1
547,0,L,O,02,1
548,0,L,O,08,1
549,0,L,O,20,1
550,0,L,O,04,1
551,0,L,O,22,1
552,0,L,O,14,9
553,0,L,O,12,1
554,0,L,O,12,1
555,0,L,O,12,1
556,0,L,O,06,1
557,0,L,O,06,1
558,0,L,O,10,1
559,0,L,O,10,1
560,0,L,O,28,1
561,0,L,O,16,1
562,0,L,O,30,1
563,0,L,O,30,1
564,0,L,O,30,1
565,0,L,O,30,1
566,0,L,O,14,1
567,0,L,O,02,5
568,0,L,O,08,1
569,0,L,O,08,1
570,0,L,O,08,1
571,0,L,O,20,1
572,0,L,O,22,1
573,0,L,O,24,1
574,0,L,O,24,1
575,0,L,O,26,1
576,0,L,O,12,1
577,0,L,O,12,1
578,0,L,O,06,1
579,0,L,O,10,1
580,0,L,O,30,1
581,0,L,O,14,1
582,0,L,O,02,1
583,0,L,O,08,1
584,0,L,O,08,1
585,0,L,O,24,1
586,0,L,O,32,1
587,0,L,O,30,1
588,0,L,O,30,1
589,0,L,O,30,1
590,0,L,O,02,1
591,0,L,O,02,5
592,0,L,O,24,1
593,0,L,O,24,1
594,0,L,O,22,1
595,0,L,O,30,1
596,0,L,O,32,1
597,0,L,O,02,1
598,0,L,O,02,1
599,0,M,O,02,5
600,0,M,O,04,4
601,0,M,O,26,4
602,0,L,O,28,1
603,0,L,O,28,1
604,0,L,O,16,1
605,0,L,O,32,1
606,0,L,O,32,1
607,0,L,O,14,1
608,0,L,O,02,5
609,0,L,O,02,1
610,0,M,O,02,5
611,0,M,O,08,5
612,0,M,O,08,5
613,0,L,O,10,1
614,0,M,O,18,4
615,0,L,O,32,1
616,0,L,O,32,1
617,0,L,O,20,1
618,0,L,O,04,1
619,0,L,O,04,1
620,0,M,O,04,4
621,0,L,O,32,1
622,0,M,O,12,5
623,0,M,O,06,7
624,0,L,O,10,1
625,0,L,O,28,1
626,0,M,O,30,5
627,0,L,O,30,1
628,0,M,O,32,5
629,0,M,O,22,4
630,0,M,O,10,6
631,0,L,O,30,5
632,0,M,O,30,5
633,0,L,O,02,1
634,0,L,O,02,1
635,0,L,O,04,4
636,0,L,O,04,1
637,0,L,O,06,1
638,0,M,O,28,4
639,0,M,O,16,4
640,0,M,O,16,4
641,0,L,O,30,5
642,0,L,O,30,1
643,0,L,O,18,1
644,0,L,O,14,1
645,0,M,O,26,4
646,0,M,O,32,5
647,0,L,O,10,1
648,0,L,O,14,9
649,0,M,O,02,5
650,0,L,O,02,1
651,0,L,O,20,1
652,0,L,O,04,4
653,0,L,O,22,4
654,0,M,O,30,5
655,0,L,O,02,5
656,0,M,O,28,4
657,0,M,O,04,4
658,0,L,O,26,1
659,0,L,O,30,5
660,0,L,O,14,9
661,0,L,O,32,1
662,0,L,O,30,1
663,0,L,O,22,1
664,0,L,O,24,6
665,0,M,O,20,5
666,0,L,O,26,4
667,0,M,O,06,7
668,0,L,O,26,1
669,0,L,Q,14,1
670,0,L,Q,14,1
671,1,L,D.E,16,1
672,0,L,Q,18,1
673,0,L,P,10,1
674,0,L,M,24,1
675,0,L,O,06,1
676,1,L,C,06,1
677,1,L,C,12,1
678,1,M,R.S,18,3
679,0,L,O,02,1
680,0,L,O,02,1
681,0,L,O,02,1
682,0,L,Q,06,1
683,0,L,O,16,1
684,0,L,O,08,1
685,0,L,Q,30,11
686,0,L,Q,30,11
687,0,L,O,22,1
688,0,L,O,32,1
689,0,L,O,14,1
690,0,L,O,14,1
691,0,L,O,06,1
692,0,L,O,28,1
693,0,L,O,06,1
694,0,L,O,06,1
695,0,M,R.S,08,1
696,0,L,O,04,1
697,0,L,O,04,1
698,0,L,O,18,1
699,0,L,O,04,1
700,0,L,O,04,1
701,0,L,R.S,10,1
702,0,L,O,22,1
703,0,L,O,22,1
704,0,L,O,22,1
705,0,L,O,22,1
706,0,M,R.S,22,1
707,0,L,H,24,2
708,1,L,H,16,1
709,0,L,H,18,1
710,0,L,H,02,1
711,0,L,H,02,2
712,0,L,H,30,1
713,0,L,H,30,2
714,0,L,H,26,1
715,0,L,Q,22,1
716,0,L,Q,12,1
717,0,M,R.S,30,1
718,0,L,O,30,1
719,0,L,O,22,1
720,0,L,Q,10,1
721,0,L,R.S,24,1
722,0,L,O,30,1
723,0,L,P,20,1
724,0,L,O,12,1
725,0,M,R.S,22,1
726,0,L,O,24,1
727,0,L,O,32,1
728,0,L,Q,14,1
729,0,L,O,18,1
730,0,M,P,14,8
731,1,M,K.L,18,6
732,0,L,O,12,1
733,0,L,O,10,1
734,0,L,Q,10,1
735,0,L,O,30,1
736,0,L,O,30,1
737,0,L,R.S,24,1
738,1,L,K.L,22,1
739,1,L,C,24,1
740,0,L,Q,24,1
741,0,L,K.L,14,1
742,1,L,C,30,1
743,1,L,G,30,2
744,0,M,R.S,30,1
745,0,L,M,14,1
746,1,L,C,28,16
747,0,M,R.S,20,1
748,0,L,Q,14,1
749,0,L,Q,14,1
750,0,M,R.S,14,6
751,0,M,R.S,28,1
752,0,L,Q,12,1
